qid,question,context,QL,CL,QX,CX,CAR,CCL,CFK,CGF,CDC,Sim,Sim_Max,AS,AS_relative,PA,QT,y_question_F1,y_question_BERT,y_question_EditDist,Jaccard,Recall,Precision,F1,EditDist,EM,BERT
95,Which Emporio Armani fragrance did Beyoncé promote in 2007?,"Beyoncé has worked with Tommy Hilfiger for the fragrances True Star (singing a cover version of ""Wishing on a Star"") and True Star Gold; she also promoted Emporio Armani's Diamonds fragrance in 2007. Beyoncé launched her first official fragrance, Heat in 2010. The commercial, which featured the 1956 song ""Fever"", was shown after the water shed in the United Kingdom as it begins with an image of Beyoncé appearing to lie naked in a room. In February 2011, Beyoncé launched her second fragrance, Heat Rush. Beyoncé's third fragrance, Pulse, was launched in September 2011. In 2013, The Mrs. Carter Show Limited Edition version of Heat was released. The six editions of Heat are the world's best-selling celebrity fragrance line, with sales of over $400 million.",17,188,53.44444444444444,46.410714285714285,10.122154017857142,10.582890624999997,7.674241071428572,10.439285714285715,7.4450183035714295,0.48309600353240967,0.5676754117012024,172,0.9738766980146292,1.016472679715166,-1,0.0,0.4791555106639862,7,1.0,1.0,1.0,1.0,0,1,1.0000001192092896
15,What video game did Beyoncé back out of?,"The release of a video-game Starpower: Beyoncé was cancelled after Beyoncé pulled out of a $100 million with GateFive who alleged the cancellation meant the sacking of 70 staff and millions of pounds lost in development. It was settled out of court by her lawyers in June 2013 who said that they had cancelled because GateFive had lost its financial backers. Beyoncé also has had deals with American Express, Nintendo DS and L'Oréal since the age of 18.",13,112,20.5,56.769230769230774,13.791538461538458,10.834871794871795,11.191025641025643,13.989743589743592,7.565112820512821,0.3939662575721741,0.4271150529384613,28,0.944206008583691,1.006266110585798,-1,0.0,0.3808809816837311,16,1.0,1.0,1.0,1.0,0,1,1.0
30,VH1 listed her at what number on their 100 Sexiest Artists list?,"In September 2010, Beyoncé made her runway modelling debut at Tom Ford's Spring/Summer 2011 fashion show. She was named ""World's Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012. In January 2013, GQ placed her on its cover, featuring her atop its ""100 Sexiest Women of the 21st Century"" list. VH1 listed her at number 1 on its 100 Sexiest Artists list. Several wax figures of Beyoncé are found at Madame Tussauds Wax Museums in major cities around the world, including New York, Washington, D.C., Amsterdam, Bangkok, Hollywood and Sydney.",19,157,28.666666666666668,44.0,10.330200000000001,9.911799999999996,9.674000000000003,13.200000000000001,8.0975,0.5289078950881958,0.8484026789665222,357,0.420534458509142,1.015102250038341,-1,0.5,0.8734977841377258,3,0.5,0.5,1.0,0.6666666666666666,7,0,0.7100424766540527
158,"In her music, what are some recurring elements in them?","A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.",13,233,30.0,45.84550561797753,12.477640449438205,11.34207865168539,10.389747191011235,13.39438202247191,6.958319101123596,0.3500022888183594,0.4233926832675934,104,0.9791271347248576,1.0817022110049117,-1,0.3636363636363636,0.4960279166698456,25,1.0,1.0,1.0,1.0,0,1,1.0
128,When did Beyonce partner with C&A to sell fashion in Brazil?,"In 2005, Beyoncé teamed up with House of Brands, a shoe company, to produce a range of footwear for House of Deréon. In January 2008, Starwave Mobile launched Beyoncé Fashion Diva, a ""high-style"" mobile game with a social networking component, featuring the House of Deréon collection. In July 2009, Beyoncé and her mother launched a new junior apparel label, Sasha Fierce for Deréon, for back-to-school selling. The collection included sportswear, outerwear, handbags, footwear, eyewear, lingerie and jewelry. It was available at department stores including Macy's and Dillard's, and specialty stores Jimmy Jazz and Against All Odds. On May 27, 2010, Beyoncé teamed up with clothing store C&A to launch Deréon by Beyoncé at their stores in Brazil. The collection included tailored blazers with padded shoulders, little black dresses, embroidered tops and shirts and bandage dresses.",16,236,37.0,53.04761904761905,12.830403726708077,13.19528985507246,8.943498964803311,12.523395445134577,9.559350310559005,0.47780439257621765,0.6012750864028931,638,0.1636726546906187,1.0197380942329135,-1,0.0,0.4387607276439667,9,1.0,1.0,1.0,1.0,0,1,1.0
115,Who shares in the House of Deréon fashion line introduction with Beyoncé?,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The concept is inspired by three generations of women in their family, the name paying tribute to Beyoncé's grandmother, Agnèz Deréon, a respected seamstress. According to Tina, the overall style of the line best reflects her and Beyoncé's taste and style. Beyoncé and her mother founded their family's company Beyond Productions, which provides the licensing and brand management for House of Deréon, and its junior collection, Deréon. House of Deréon pieces were exhibited in Destiny's Child's shows and tours, during their Destiny Fulfilled era. The collection features sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear, and are available at department and specialty stores across the US and Canada.",19,205,37.0,52.18407960199005,14.200547263681592,13.449552238805968,11.26029850746269,15.201990049751243,8.531390049751245,0.4619670510292053,0.5951071381568909,12,0.5747126436781609,1.047810840267417,-1,0.0,0.3720443844795227,14,1.0,1.0,1.0,1.0,0,1,1.0
69,Which hall at Notre Dame contains the current College of Science?,"The College of Science was established at the university in 1865 by president Father Patrick Dillon. Dillon's scientific courses were six years of work, including higher-level mathematics courses. Today the college, housed in the newly built Jordan Hall of Science, includes over 1,200 undergraduates in six departments of study – biology, chemistry, mathematics, physics, pre-professional studies, and applied and computational mathematics and statistics (ACMS) – each awarding Bachelor of Science (B.S.) degrees. According to university statistics, its science pre-professional program has one of the highest acceptance rates to medical school of any university in the United States.",13,137,47.36363636363637,61.90833333333333,15.792187499999997,17.17989583333333,12.302166666666668,16.846666666666664,9.3407575,0.4453295171260834,0.5355427861213684,242,0.4755555555555555,1.0471865345850049,-1,0.2857142857142857,0.4912488758563995,18,1.0,1.0,1.0,1.0,0,1,1.0
170,Who cited Beyoncé as being the top certified artist of the 2000s?,"Beyoncé has received numerous awards. As a solo artist she has sold over 15 million albums in the US, and over 118 million records worldwide (a further 60 million additionally with Destiny's Child), making her one of the best-selling music artists of all time. The Recording Industry Association of America (RIAA) listed Beyoncé as the top certified artist of the 2000s, with a total of 64 certifications. Her songs ""Crazy in Love"", ""Single Ladies (Put a Ring on It)"", ""Halo"", and ""Irreplaceable"" are some of the best-selling singles of all time worldwide. In 2009, The Observer named her the Artist of the Decade and Billboard named her the Top Female Artist and Top Radio Songs Artist of the Decade. In 2010, Billboard named her in their ""Top 50 R&B/Hip-Hop Artists of the Past 25 Years"" list at number 15. In 2012 VH1 ranked her third on their list of the ""100 Greatest Women in Music"". Beyoncé was the first female artist to be honored with the International Artist Award at the American Music Awards. She has also received the Legend Award at the 2008 World Music Awards and the Billboard Millennium Award at the 2011 Billboard Music Awards.",19,287,28.666666666666668,41.22222222222222,11.06451111111111,9.590599999999998,9.065666666666669,11.68888888888889,6.628722222222223,0.5053345561027527,0.6543543338775635,261,0.0734870317002881,1.1020734796890774,-1,0.0,0.3278542459011078,37,1.0,1.0,1.0,1.0,0,1,1.0
174,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,"In November 2003, she embarked on the Dangerously in Love Tour in Europe and later toured alongside Missy Elliott and Alicia Keys for the Verizon Ladies First Tour in North America. On February 1, 2004, Beyoncé performed the American national anthem at Super Bowl XXXVIII, at the Reliant Stadium in Houston, Texas. After the release of Dangerously in Love, Beyoncé had planned to produce a follow-up album using several of the left-over tracks. However, this was put on hold so she could concentrate on recording Destiny Fulfilled, the final studio album by Destiny's Child. Released on November 15, 2004, in the US and peaking at number two on the Billboard 200, Destiny Fulfilled included the singles ""Lose My Breath"" and ""Soldier"", which reached the top five on the Billboard Hot 100 chart. Destiny's Child embarked on a worldwide concert tour, Destiny Fulfilled... and Lovin' It and during the last stop of their European tour, in Barcelona on June 11, 2005, Rowland announced that Destiny's Child would disband following the North American leg of the tour. The group released their first compilation album Number 1's on October 25, 2005, in the US and accepted a star on the Hollywood Walk of Fame in March 2006.",19,295,28.333333333333336,58.56043956043956,15.505267857142861,10.799759615384616,12.84760989010989,15.924175824175826,8.078299725274727,0.43353065848350525,0.5309240221977234,1212,0.7271186440677966,1.033925918561279,-1,0.0,0.8207829594612122,4,1.0,1.0,1.0,1.0,0,1,1.0000001192092896
45,What song did she release in 2013 in response to a speech?,"In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a feminist, to which she said, ""that word can be very extreme... But I guess I am a modern-day feminist. I do believe in equality"". She would later align herself more publicly with the movement, sampling ""We should all be feminists"", a speech delivered by Nigerian author Chimamanda Ngozi Adichie at a TEDxEuston conference in April 2013, in her song ""Flawless"", released later that year. She has also contributed to the Ban Bossy campaign, which uses television and social media to encourage leadership in girls.",14,148,28.666666666666668,48.91287128712871,11.240693069306928,10.94019801980198,9.345425742574257,13.228514851485148,7.255385346534654,0.4364129900932312,0.4628697335720062,445,0.4926829268292683,1.076158549846863,-1,0.0,0.3740331828594208,14,1.0,1.0,1.0,1.0,0,1,1.0
