qid,answer,answer_start,answer_start_relative
0,"February 6, 2016",3,0.41786743515850144
1,Freddie Gray,23,0.44801512287334594
2,"January 7, 2012",3,0.4941860465116279
3,four nights,161,0.13237410071942446
4,Ike,321,0.13221153846153846
5,Hurricane Katrina,6,0.3924731182795699
6,Beyontourage,87,0.08294209702660407
7,beehive,184,0.08232189973614776
8,Twitter,321,0.0814081408140814
9,2010,60,0.09777777777777778
10,the head of the G7 in Germany,214,0.9256559766763849
11,the ONE Campaign,44,0.95096921322691
12,2015,3,0.07363013698630137
13,the ONE Campaign,44,0.5527065527065527
14,June 2013,267,0.2691823899371069
15,Starpower: Beyoncé,28,0.944206008583691
16,House of Deréon,158,0.22774869109947643
17,2006,3,0.026905829596412557
18,1952–87,82,0.0
19,950,439,0.06181015452538632
20,1917–2015,37,0.33238636363636365
21,Our Lady of the Lake,220,0.05392156862745098
22,Rudy Perez,516,0.3231083844580777
23,B'Day,369,0.18846694796061886
24,B'Day.,431,0.49144811858608894
25,33,424,0.332955832389581
26,1849,122,0.7579250720461095
27,Kite Realty,401,0.09523809523809523
28,1842,3,0.9848771266540642
29,modelling,43,0.20374015748031496
30,number 1,357,0.42053445850914206
31,People,154,0.32098765432098764
32,2013,236,0.8322337417530632
33,The Mrs. Carter Show World Tour,20,0.6821345707656613
34,Queen Tara,429,0.3911404335532517
35,wide-ranging,41,0.7343234323432343
36,Father Lemonnier,495,0.7276657060518732
37,hairdresser and salon owner,101,0.4932975871313673
38,Joseph Broussard.,540,0.6113013698630136
39,salon,117,0.26143790849673204
40,Joseph Broussard,540,0.33993399339933994
41,Muammar Gaddafi.,137,0.06890756302521009
42,The Center for Science in the Public Interest (CSPINET),206,0.5894039735099338
43,Pepsi,24,0.32405891980360063
44,Pepsi,24,0.09792843691148775
45,Flawless,445,0.4926829268292683
46,endorse Pepsi,191,0.34870317002881845
47,1968,198,0.6202830188679245
48,Global Gateways,535,0.71760391198044
49,Glory,160,0.5366666666666666
50,Glory,160,0.055381400208986416
51,B.I.C.,457,0.003303964757709251
52,1986,303,0.07385229540918163
53,Tyra Banks,535,0.31518151815181517
54,co-producing,376,0.005272407732864675
55,co-producing credits,376,0.8178368121442126
56,greatest entertainer alive,484,0.08964143426294821
57,stage presence and voice,36,0.01744186046511628
58,she's almost too good,393,0.7047451669595782
59,Suga Mama,53,0.15914137675795706
60,2006 BET Awards,347,0.8038768529076397
61,Suga Mama,53,0.1405152224824356
62,2006,3,0.23324396782841822
63,Feria hair color advertisements,386,0.01694915254237288
64,work,10,0.006134969325153374
65,Gwyneth Paltrow,385,0.0362400906002265
66,Driehaus Architecture Prize,624,0.1688963210702341
67,Airplane!,344,0.09523809523809523
68,The Gipper,267,0.425531914893617
69,Jordan Hall of Science,242,0.47555555555555556
70,Green Light,635,0.34322508398656215
71,Déjà Vu,303,0.6005025125628141
72,The First Year of Studies program,155,0.7449567723342939
73,five,68,0.8581730769230769
74,Lauryn Hill,242,0.6218354430379747
75,singing and dancing,207,0.0
76,Mariah Carey,517,0.5354122621564482
77,Beyoncé Giselle Knowles-Carter,0,0.7447795823665894
78,"September 4, 1981",64,0.3346456692913386
79,lead singer,290,0.2273781902552204
80,2003,526,0.2663316582914573
81,Dangerously in Love,505,0.5294117647058824
82,Mathew Knowles,360,0.9958915365653246
83,ten nominations,51,0.6790123456790124
84,a golden statue of the Virgin Mary,92,0.2394526795895097
85,Rev. Michael J. Shea,149,0.9203166226912929
86,2015,388,0.22719734660033167
87,Old College,234,0.34172313649564373
88,$1.2 million,535,0.9353146853146853
89,Parkwood Entertainment,75,0.06612529002320186
90,Josephine Baker,134,0.039603960396039604
91,activewear,299,0.3616557734204793
92,activewear,299,0.2636986301369863
93,1920,46,0.543035993740219
94,Laetare Medal,292,0.7682826622843056
95,Diamonds,172,0.9738766980146291
96,2010.,255,0.3631889763779528
97,Beyoncé,0,0.7477954144620811
98,2013,577,0.22180731889469754
99,2008,456,0.47596153846153844
100,2010,501,0.30176211453744495
101,Michael Jackson,14,0.40825688073394495
102,NCAA Division I,214,0.6557591623036649
103,Max Scheler,478,0.4041095890410959
104,classics and law,212,0.1888111888111888
105,Billboard magazine,587,0.14847512038523275
106,her mother,714,0.7151442307692307
107,Farrah Franklin,110,0.9358600583090378
108,College of Commerce,595,0.903010033444816
109,a couple of years,396,0.9581719597211464
110,Father James Burns,8,0.09883720930232558
111,boyfriend left her,320,0.7572178477690289
112,split with Luckett and Rober,194,0.06353591160220995
113,Agnèz Deréon,218,0.8605898123324397
114,Deréon.,526,0.8804143126177024
115,her mother,12,0.5747126436781609
116,First Lady Michelle Obama,57,0.7814269535673839
117,February 2013,588,0.0023237800154918666
118,to take control of her own career,642,0.039603960396039604
119,a strong woman,196,0.29827089337175794
120,73 million,210,0.10548523206751055
121,Summertime,834,0.004694835680751174
122,The Fighting Temptations,431,0.15914137675795706
123,Missy Elliott,705,0.70201643017177
124,The Fighting Temptations,431,0.08444902162718847
125,2009,294,0.4439746300211416
126,C&A,690,0.01818181818181818
127,House of Brands,32,0.09221902017291066
128,"May 27, 2010",638,0.16367265469061876
129,4,24,0.24317617866004962
130,"March 30, 2015",3,0.01749271137026239
131,Aspiro,274,0.7001897533206831
132,Michigan Wolverines football team,74,0.1881298992161254
133,"April 4, 2008",332,0.5187319884726225
134,Paris.,912,0.3878091872791519
135,Congregation of Holy Cross,162,0.9012875536480687
136,George Zimmerman,880,0.006666666666666667
137,4 million,398,0.09777777777777778
138,a rally,840,0.7535211267605634
139,2013,753,0.21408045977011494
140,almost $100 million,223,0.42053445850914206
141,oldest university band in continuous existence in the United States,420,0.009615384615384616
142,The Pink Panther,53,0.01
143,Shakira,932,0.7658227848101266
144,2007,550,0.9934640522875817
145,National Collegiate Athletic Association,82,0.1956521739130435
146,1879,90,0.5259938837920489
147,acting,207,0.17456896551724138
148,Jay Z,369,0.5913978494623656
149,B'Day,95,0.09523809523809523
150,1851–1921,353,0.5247349823321554
151,five.,696,0.38461538461538464
152,Luther Vandross.,1042,0.5968586387434555
153,Crazy in Love,474,0.8526504941599281
154,The Daily Mail,415,0.4270386266094421
155,praise her range and power,883,0.25707547169811323
156,influential,935,0.8002125398512221
157,modern-day feminist,18,0.0256
158,"love, relationships, and monogamy",104,0.9791271347248577
159,52,231,0.05392156862745098
160,two,949,0.9936575052854123
161,the First Couple's first inaugural ball.,594,0.056962025316455694
162,Phoenix House,439,0.6578449905482041
163,three,108,0.6021840873634945
164,Vogue,364,0.903010033444816
165,three,108,0.23317307692307693
166,Coldplay,770,0.8756137479541735
167,three,108,0.22572178477690288
168,eleven,216,0.9570552147239264
169,October 2001,1070,0.10267857142857142
170,The Recording Industry Association of America,261,0.07348703170028818
171,2014,1078,0.7225368063420159
172,four,294,0.03389830508474576
173,Barcelona,935,0.8149964961457603
174,2006,1212,0.7271186440677966
175,Condoleezza Rice,185,0.7467320261437909
176,18th overall,32,0.49144811858608894
177,1958,1099,0.015360983102918587
178,"268,000 tweets per minute",523,0.09350393700787402
179,over 80%,251,0.5968253968253968
180,Fifty-seven,1237,0.018276762402088774
181,January 2013,3,0.4051123160340821
182,around 8 million copies,297,0.44169096209912534
183,a species of horse fly,940,0.014150943396226415
184,Men in Black,215,0.19442292796281951
185,Men in Black.,215,0.9221556886227545
186,Book of Isaiah.,85,0.08294209702660407
187,Pat O'Brien,457,0.32901367890568756
188,Alliance for Catholic Education,1163,0.2357293868921776
189,a week-long Klavern,819,0.21516754850088182
190,the iTunes Store,88,0.3532846715328467
191,the iTunes Store,88,0.20754716981132076
192,"over 1,600",30,0.8708399366085579
193,Mike Brey,850,0.22529069767441862
194,Theodore Hesburgh Library,336,0.8685064935064936
195,Duncan Hall,613,0.06291635825314582
196,highest-earning power couple,1013,0.26143790849673204
197,250 million,1880,0.8305369127516778
198,March 2009,1744,0.5968253968253968
199,Sasha Fierce,156,0.8762475049900199
